Data solution ID is 1635378410781933568 
Distance to 4488893659368832 is 772186.392178918 AU 
Distance to 4520126661819904 is 1135539.09997144 AU 
Distance to 4532908484488960 is 1065775.8354177 AU 
Distance to 4541807656737536 is 1148302.50855857 AU 
Distance to 4545965185079296 is 504343.927553787 AU 
Distance to 4553936644379008 is 1078469.74394311 AU 
Distance to 4559262403826688 is 1132852.17064762 AU 
Distance to 4587574828228736 is 858215.424000709 AU 
Distance to 4588330742472704 is 1133729.16451996 AU 
Distance to 4593141105845376 is 1272072.13841193 AU 
Distance to 4593965739565568 is 1057542.18485556 AU 
Distance to 4601456162527616 is 1134019.25818 AU 
Distance to 4602899271267840 is 1360535.56735892 AU 
Distance to 4611351766907392 is 891666.983102083 AU 
Distance to 4617433440593536 is 990215.89206522 AU 
Distance to 4627088527077120 is 1183980.73386466 AU 
Distance to 4645745865084032 is 868393.478828637 AU 
Distance to 4647910529082624 is 1138471.855288 AU 
Distance to 4657496896084864 is 944935.260256186 AU 
Distance to 4659489760456320 is 1033627.3575369 AU 
Distance to 4688180142446464 is 1000031.4280653 AU 
Distance to 4693780779799168 is 1081389.73204941 AU 
Distance to 4700240410155776 is 1177581.23113837 AU 
Distance to 4707662113640832 is 1271530.87651796 AU 
Distance to 4724017349108352 is 1270703.88673622 AU 
Distance to 4725151220474240 is 1284726.00185541 AU 
Distance to 4733225758890240 is 1212475.11981523 AU 
Distance to 4745663984268800 is 688708.471356217 AU 
Distance to 4748378403604352 is 1261415.47060204 AU 
Distance to 4752879529332096 is 1056117.45003155 AU 
Distance to 4753532364361472 is 1233291.10291348 AU 
Distance to 4769131685578368 is 899336.150078963 AU 
